Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,30th percentile,Median,Upper quartile
E17,Studio,30,902,800,825,888,"1,000"
E17,One Bedroom,200,"1,196","1,080","1,100","1,150","1,300"
E17,Two Bedrooms,310,"1,442","1,300","1,300","1,400","1,630"
E17,Three Bedrooms,110,"1,714","1,525","1,550","1,650","1,850"
E17,Four or More Bedrooms,40,"2,004","1,800","1,800","2,000","2,300"
E18,Room,-,..,..,..,..,..
E18,Studio,-,..,..,..,..,..
E18,One Bedroom,60,"1,113","1,050","1,050","1,100","1,200"
E18,Two Bedrooms,100,"1,359","1,250","1,275","1,350","1,460"
E18,Three Bedrooms,30,"1,639","1,475","1,500","1,665","1,800"
E18,Four or More Bedrooms,10,"2,560","2,200","2,225","2,450","2,550"
E1W,Room,0,.,.,.,.,.
E1W,Studio,20,"1,250","1,165","1,192","1,257","1,300"
E1W,One Bedroom,60,"1,517","1,358","1,400","1,495","1,625"
E1W,Two Bedrooms,70,"1,944","1,647","1,668","1,857","2,238"
E1W,Three Bedrooms,20,"3,576","2,297","2,297","2,708","4,117"
E1W,Four or More Bedrooms,10,"3,517","3,098","3,098","3,207","3,467"
E2,Room,10,700,642,647,654,842
E2,Studio,10,"1,360","1,150","1,183","1,278","1,430"
E2,One Bedroom,60,"1,616","1,402","1,450","1,650","1,777"
E2,Two Bedrooms,110,"1,982","1,750","1,800","1,989","2,151"
E2,Three Bedrooms,40,"2,542","2,200","2,300","2,482","2,850"
E2,Four or More Bedrooms,40,"3,367","3,100","3,250","3,514","3,683"
E20,Room,0,.,.,.,.,.
E20,Studio,0,.,.,.,.,.
E20,One Bedroom,10,"1,700","1,575","1,575","1,750","1,775"
E20,Two Bedrooms,10,"1,860","1,800","1,800","1,800","1,850"
E20,Three Bedrooms,-,..,..,..,..,..
E20,Four or More Bedrooms,0,.,.,.,.,.
E3,Room,10,588,452,592,592,702
E3,Studio,10,"1,108","1,050","1,050","1,127","1,150"
E3,One Bedroom,90,"1,331","1,300","1,300","1,338","1,375"
E3,Two Bedrooms,120,"1,648","1,500","1,500","1,623","1,700"
E3,Three Bedrooms,50,"2,168","1,950","1,975","2,180","2,300"
E3,Four or More Bedrooms,20,"2,784","2,383","2,400","2,600","3,250"
E4,Room,-,..,..,..,..,..
E4,Studio,-,..,..,..,..,..
E4,One Bedroom,70,977,900,900,950,"1,025"
E4,Two Bedrooms,80,"1,206","1,125","1,150","1,200","1,280"
E4,Three Bedrooms,50,"1,508","1,425","1,450","1,500","1,600"
E4,Four or More Bedrooms,10,"1,860","1,700","1,700","1,850","1,950"
E5,Room,0,.,.,.,.,.
E5,Studio,20,934,850,850,997,"1,000"
E5,One Bedroom,60,"1,345","1,250","1,250","1,305","1,450"
E5,Two Bedrooms,50,"1,609","1,473","1,495","1,600","1,725"
E5,Three Bedrooms,30,"2,072","1,750","1,900","2,025","2,300"
E5,Four or More Bedrooms,20,"2,886","2,700","2,800","2,900","3,000"
E6,Room,-,..,..,..,..,..
E6,Studio,-,..,..,..,..,..
E6,One Bedroom,50,"1,066","1,000","1,000","1,100","1,130"
E6,Two Bedrooms,60,"1,265","1,200","1,250","1,300","1,350"
E6,Three Bedrooms,50,"1,599","1,500","1,525","1,600","1,675"
E6,Four or More Bedrooms,20,"1,972","1,800","1,850","1,925","2,050"
E7,Room,10,"1,159",679,692,804,"1,668"
E7,Studio,0,.,.,.,.,.
E7,One Bedroom,30,"1,070","1,000","1,000","1,050","1,150"
E7,Two Bedrooms,40,"1,322","1,250","1,250","1,300","1,400"
E7,Three Bedrooms,40,"1,618","1,500","1,500","1,625","1,750"
E7,Four or More Bedrooms,20,"2,036","1,850","1,850","2,000","2,100"
E77,Room,0,.,.,.,.,.
E77,Studio,0,.,.,.,.,.
E77,One Bedroom,0,.,.,.,.,.
E77,Two Bedrooms,0,.,.,.,.,.
E77,Three Bedrooms,0,.,.,.,.,.
E77,Four or More Bedrooms,0,.,.,.,.,.
E8,Room,0,.,.,.,.,.
E8,Studio,10,"1,009",980,"1,000","1,045","1,100"
E8,One Bedroom,100,"1,601","1,450","1,475","1,603","1,709"
E8,Two Bedrooms,160,"1,739","1,426","1,495","1,675","2,047"
E8,Three Bedrooms,50,"2,472","2,150","2,230","2,598","2,778"
E8,Four or More Bedrooms,30,"3,103","2,747","2,990","3,328","3,550"
E9,Room,0,.,.,.,.,.
E9,Studio,-,..,..,..,..,..
E9,One Bedroom,50,"1,328","1,250","1,250","1,300","1,400"
E9,Two Bedrooms,80,"1,652","1,500","1,500","1,600","1,750"
E9,Three Bedrooms,30,"1,994","1,800","1,800","2,000","2,190"
E9,Four or More Bedrooms,10,"2,990","2,700","2,700","2,867","3,079"
E98,Room,0,.,.,.,.,.
E98,Studio,0,.,.,.,.,.
E98,One Bedroom,0,.,.,.,.,.
E98,Two Bedrooms,0,.,.,.,.,.
E98,Three Bedrooms,0,.,.,.,.,.
E98,Four or More Bedrooms,0,.,.,.,.,.
EC1A,Room,0,.,.,.,.,.
EC1A,Studio,-,..,..,..,..,..
EC1A,One Bedroom,-,..,..,..,..,..
EC1A,Two Bedrooms,0,.,.,.,.,.
EC1A,Three Bedrooms,0,.,.,.,.,.
EC1A,Four or More Bedrooms,0,.,.,.,.,.
EC1M,Room,0,.,.,.,.,.
EC1M,Studio,0,.,.,.,.,.
EC1M,One Bedroom,-,..,..,..,..,..
EC1M,Two Bedrooms,-,..,..,..,..,..
EC1M,Three Bedrooms,0,.,.,.,.,.
EC1M,Four or More Bedrooms,0,.,.,.,.,.
EC1N,Room,0,.,.,.,.,.
EC1N,Studio,0,.,.,.,.,.
EC1N,One Bedroom,-,..,..,..,..,..
EC1N,Two Bedrooms,-,..,..,..,..,..
EC1N,Three Bedrooms,0,.,.,.,.,.
EC1N,Four or More Bedrooms,0,.,.,.,.,.
EC1P,Room,0,.,.,.,.,.
EC1P,Studio,0,.,.,.,.,.
EC1P,One Bedroom,0,.,.,.,.,.
EC1P,Two Bedrooms,0,.,.,.,.,.
EC1P,Three Bedrooms,0,.,.,.,.,.
EC1P,Four or More Bedrooms,0,.,.,.,.,.
EC1R,Room,-,..,..,..,..,..
EC1R,Studio,0,.,.,.,.,.
EC1R,One Bedroom,-,..,..,..,..,..
EC1R,Two Bedrooms,-,..,..,..,..,..
EC1R,Three Bedrooms,0,.,.,.,.,.
EC1R,Four or More Bedrooms,0,.,.,.,.,.
EC1V,Room,-,..,..,..,..,..
EC1V,Studio,-,..,..,..,..,..
EC1V,One Bedroom,10,"1,666","1,380","1,700","1,712","1,850"
EC1V,Two Bedrooms,10,"2,220","1,842","1,896","2,050","2,800"
EC1V,Three Bedrooms,-,..,..,..,..,..
EC1V,Four or More Bedrooms,0,.,.,.,.,.
EC1Y,Room,0,.,.,.,.,.
EC1Y,Studio,-,..,..,..,..,..
EC1Y,One Bedroom,0,.,.,.,.,.
EC1Y,Two Bedrooms,-,..,..,..,..,..
EC1Y,Three Bedrooms,0,.,.,.,.,.
EC1Y,Four or More Bedrooms,0,.,.,.,.,.
EC2A,Room,-,..,..,..,..,..
EC2A,Studio,-,..,..,..,..,..
EC2A,One Bedroom,-,..,..,..,..,..
EC2A,Two Bedrooms,10,"2,459","1,850","1,928","2,450","2,800"
EC2A,Three Bedrooms,0,.,.,.,.,.
EC2A,Four or More Bedrooms,-,..,..,..,..,..
EC2M,Room,0,.,.,.,.,.
EC2M,Studio,0,.,.,.,.,.
